elapsed_001,responsecode_001,elapsed_002,responsecode_002,elapsed_003,responsecode_003,elapsed_004,responsecode_004,elapsed_005,responsecode_005,elapsed_006,responsecode_006
1067,200,1352,200,1519,200,1146,200,1590,200,1789,200
1122,200,1277,200,1486,200,3638,200,1591,200,1744,200
1024,200,1640,200,1539,200,1111,200,1543,200,2018,200
1068,200,1520,200,1503,200,1153,200,1616,200,1727,200
999,200,1538,200,1485,200,1384,200,1583,200,1968,200
1050,200,1514,200,1522,200,1107,200,1713,200,1799,200
1057,200,1287,200,1499,200,3667,200,1762,200,1840,200
1038,200,1248,200,1465,200,1068,200,1853,200,1809,200
1076,200,1506,200,1688,200,1407,200,1988,200,1740,200
1072,200,1256,200,1510,200,1167,200,2143,200,1762,200
1395,200,1549,200,1691,200,1164,200,1624,200,1779,200
1323,200,1248,200,1586,200,1147,200,1881,200,1844,200
1088,200,1481,200,1509,200,1079,200,1907,200,1787,200
1032,200,1363,200,1570,200,1184,200,2048,200,1802,200
1100,200,1274,200,1536,200,1180,200,2053,200,1827,200
1084,200,1307,200,1498,200,1126,200,1876,200,1863,200
1160,200,1527,200,1518,200,1104,200,2031,200,1732,200
1087,200,1540,200,1519,200,1070,200,2161,200,1761,200
1080,200,1380,200,1469,200,1132,200,1923,200,1825,200
1055,200,1689,200,1469,200,1084,200,1707,200,1813,200
1160,200,1636,200,1465,200,1089,200,1689,200,1804,200
1078,200,1714,200,1562,200,1139,200,1657,200,1743,200
1120,200,1339,200,1472,200,1103,200,1605,200,1861,200
1091,200,1464,200,1514,200,1380,200,2700,200,1759,200
1072,200,1716,200,1779,200,1136,200,1652,200,1797,200
1100,200,1322,200,1486,200,1119,200,1718,200,1897,200
1118,200,1982,200,1495,200,1114,200,1560,200,1845,200
1391,200,1463,200,1532,200,1054,200,1606,200,1844,200
1134,200,1495,200,1541,200,1141,200,1645,200,2244,200
1092,200,1620,200,1444,200,1135,200,2280,200,1946,200
1121,200,1721,200,1508,200,1119,200,1601,200,1789,200
1097,200,1641,200,1555,200,1220,200,1528,200,2174,200
1309,200,1559,200,1478,200,1145,200,1589,200,1819,200
1112,200,1579,200,1503,200,1123,200,1626,200,1902,200
1082,200,1590,200,1511,200,1130,200,1584,200,1808,200
1089,200,1423,200,1481,200,1161,200,1539,200,1917,200
1117,200,1351,200,1497,200,1115,200,1682,200,1861,200
1109,200,1670,200,1560,200,1149,200,1542,200,1852,200
1137,200,1262,200,1495,200,1087,200,1652,200,1949,200
1124,200,1670,200,1547,200,1082,200,1601,200,1871,200
1084,200,1606,200,1501,200,1060,200,1541,200,1947,200
1084,200,1401,200,1495,200,1446,200,1563,200,1837,200
1104,200,1382,200,1536,200,1127,200,1572,200,1872,200
1289,200,1396,200,1465,200,1080,200,1612,200,1739,200
1086,200,1788,200,1764,200,1380,200,1618,200,1895,200
1080,200,1746,200,1454,200,1103,200,1536,200,1868,200
1066,200,1471,200,1508,200,1078,200,1561,200,1799,200
1103,200,1491,200,1467,200,1124,200,1610,200,1781,200
1113,200,1564,200,1486,200,1081,200,1693,200,1891,200
1078,200,1298,200,1500,200,1122,200,1566,200,1783,200
1071,200,1602,200,1472,200,1137,200,1630,200,1797,200
1082,200,1604,200,1556,200,1098,200,1871,200,2044,200
1074,200,1614,200,1473,200,1120,200,1757,200,1795,200
1044,200,1560,200,1484,200,1402,200,2005,200,1862,200
1084,200,1522,200,1515,200,1062,200,1532,200,1984,200
1149,200,1257,200,1525,200,1116,200,1659,200,1815,200
1053,200,1389,200,1504,200,1106,200,1871,200,1797,200
1034,200,1535,200,1505,200,1105,200,1796,200,1788,200
1057,200,1695,200,1502,200,1100,200,1761,200,1960,200
1072,200,1255,200,1474,200,1131,200,1958,200,1882,200
1057,200,1260,200,1473,200,1090,200,2070,200,1835,200
1087,200,1542,200,1457,200,1069,200,1963,200,1760,200
1075,200,1272,200,1452,200,1120,200,1781,200,1867,200
1084,200,1564,200,1479,200,1335,200,1907,200,1982,200
1089,200,1283,200,1481,200,1152,200,1612,200,1803,200
1036,200,1567,200,1505,200,1088,200,1627,200,1765,200
1106,200,1547,200,1489,200,1138,200,1593,200,1736,200
1086,200,1372,200,1499,200,1254,200,1611,200,1952,200
1088,200,1529,200,1500,200,1155,200,1601,200,1862,200
1101,200,1352,200,1472,200,1093,200,1568,200,2021,200
1084,200,1265,200,1636,200,1125,200,1569,200,1850,200
1131,200,1685,200,1439,200,1099,200,1729,200,1758,200
1093,200,1561,200,1518,200,1125,200,1555,200,1763,200
1053,200,1586,200,1473,200,1076,200,1568,200,1805,200
1080,200,1496,200,1491,200,1239,200,1719,200,1800,200
1066,200,1324,200,1476,200,1252,200,1576,200,1748,200
1092,200,1307,200,1487,200,1195,200,1533,200,1781,200
1101,200,1532,200,1473,200,1115,200,1761,200,1770,200
1122,200,1509,200,1469,200,1095,200,1667,200,1765,200
1021,200,1320,200,1498,200,1136,200,1614,200,1788,200
1125,200,1584,200,1453,200,1040,200,1732,200,1745,200
1049,200,1491,200,1534,200,1123,200,1564,200,1845,200
1108,200,1281,200,1519,200,1091,200,1510,200,1754,200
1102,200,1248,200,1523,200,1114,200,1622,200,1834,200
1100,200,1540,200,1481,200,1105,200,1771,200,1815,200
1083,200,1512,200,1432,200,1109,200,1574,200,1760,200
1084,200,1569,200,1527,200,1111,200,1665,200,1801,200
1079,200,1712,200,1489,200,1116,200,1559,200,1990,200
1079,200,1531,200,1508,200,1323,200,1501,200,1876,200
1137,200,1297,200,1521,200,1119,200,1628,200,1794,200
1158,200,1235,200,1513,200,1141,200,1567,200,1755,200
1092,200,1577,200,1474,200,1100,200,1642,200,1871,200
1088,200,1500,200,1540,200,1088,200,1539,200,1834,200
1110,200,1546,200,1470,200,1109,200,1794,200,1781,200
1062,200,1468,200,1454,200,1165,200,1552,200,1775,200
1091,200,1382,200,1519,200,1386,200,1785,200,1779,200
1081,200,1296,200,1453,200,1118,200,1713,200,1830,200
1121,200,1312,200,1484,200,1098,200,1535,200,1873,200
1143,200,1386,200,1525,200,1124,200,1651,200,1783,200
1097,200,1505,200,1591,200,1098,200,1588,200,1832,200
1064,200,1300,200,1518,200,1109,200,1578,200,1736,200
1061,200,1527,200,1564,200,1131,200,1604,200,1744,200
1116,200,1525,200,1492,200,1109,200,1609,200,2558,200
1158,200,1499,200,1496,200,1112,200,1546,200,1828,200
1086,200,1291,200,1485,200,1128,200,1578,200,1785,200
1112,200,1222,200,1470,200,1107,200,1560,200,1798,200
1103,200,1563,200,1476,200,1096,200,1682,200,1880,200
1056,200,1286,200,1475,200,1069,200,1672,200,1799,200
1186,200,1529,200,1514,200,1103,200,1772,200,1710,200
1080,200,1509,200,1470,200,1216,200,1581,200,1725,200
1046,200,1320,200,1551,200,1123,200,1682,200,1890,200
1123,200,1259,200,1470,200,1108,200,1603,200,1866,200
1078,200,1285,200,1475,200,1115,200,1592,200,1881,200
1093,200,1278,200,1505,200,1107,200,1596,200,1800,200
1088,200,1499,200,1536,200,1142,200,1709,200,1748,200
1109,200,1577,200,1465,200,1114,200,1583,200,1766,200
1140,200,1346,200,1500,200,1152,200,1614,200,1792,200
1058,200,1526,200,1490,200,1075,200,1590,200,1729,200
1144,200,1441,200,1504,200,1110,200,1644,200,1823,200
1091,200,1302,200,1533,200,1095,200,2052,200,1915,200
1076,200,1563,200,1469,200,1152,200,1556,200,1837,200
1067,200,1520,200,1550,200,1131,200,1664,200,1731,200
1093,200,1452,200,1466,200,1124,200,1614,200,1882,200
1052,200,1314,200,1486,200,1135,200,1760,200,1744,200
1094,200,1311,200,1477,200,1089,200,1659,200,1792,200
1070,200,1262,200,1516,200,1142,200,1600,200,1843,200
1075,200,1663,200,1484,200,1085,200,1590,200,1796,200
1057,200,1364,200,1484,200,1095,200,1851,200,1759,200
1052,200,1259,200,1492,200,1189,200,1937,200,1828,200
1068,200,1591,200,1509,200,1154,200,1660,200,1737,200
1126,200,1736,200,1475,200,1113,200,1576,200,1924,200
1104,200,1254,200,1477,200,1145,200,1548,200,1740,200
1137,200,1180,200,1483,200,1402,200,1643,200,1927,200
1034,200,1484,200,1512,200,1100,200,1593,200,1759,200
1100,200,1490,200,1463,200,1121,200,1504,200,1773,200
1095,200,1294,200,1477,200,1116,200,1675,200,1771,200
1092,200,1227,200,1488,200,1163,200,1573,200,1751,200
1073,200,1239,200,1531,200,1196,200,1540,200,2802,200
1102,200,1591,200,1470,200,1129,200,1640,200,1757,200
1095,200,1379,200,1453,200,1109,200,1754,200,1736,200
1097,200,1285,200,1534,200,1118,200,1547,200,1754,200
1088,200,1203,200,1481,200,1092,200,1877,200,1894,200
1120,200,1475,200,1616,200,1226,200,2007,200,1819,200
1105,200,1516,200,1504,200,1124,200,2000,200,1766,200
1069,200,1762,200,1465,200,1123,200,1793,200,1774,200
1108,200,1284,200,1534,200,1091,200,1935,200,1775,200
1091,200,1538,200,1650,200,1097,200,1800,200,1774,200
1102,200,1328,200,1467,200,1133,200,1940,200,1897,200
1081,200,1578,200,1516,200,1138,200,2079,200,1772,200
1052,200,1481,200,1478,200,1201,200,1975,200,1787,200
1111,200,1286,200,1487,200,1152,200,1791,200,1839,200
1097,200,1428,200,1503,200,1179,200,1939,200,1966,200
1120,200,1572,200,1553,200,1301,200,1537,200,1832,200
1114,200,1249,200,1522,200,1237,200,1549,200,2061,200
1064,200,1289,200,1451,200,1152,200,1682,200,1817,200
1062,200,1652,200,1629,200,1075,200,1605,200,1918,200
1136,200,1568,200,1499,200,1114,200,1566,200,1788,200
1087,200,1454,200,1489,200,1117,200,1649,200,1888,200
1096,200,1547,200,1480,200,1122,200,1559,200,1811,200
1063,200,1395,200,1482,200,1092,200,1533,200,1768,200
1097,200,1314,200,1470,200,1085,200,1633,200,1804,200
1135,200,1702,200,1471,200,1089,200,1555,200,1810,200
1033,200,1518,200,2160,200,1112,200,1740,200,1770,200
1065,200,1299,200,1523,200,1148,200,1632,200,1871,200
1117,200,1472,200,1530,200,1115,200,1565,200,1761,200
1089,200,1283,200,1519,200,1127,200,1511,200,1804,200
1093,200,1306,200,1471,200,1116,200,1593,200,1837,200
1080,200,1319,200,1514,200,1105,200,1530,200,1762,200
1082,200,1318,200,1493,200,1103,200,1622,200,1769,200
1104,200,1525,200,2169,200,1101,200,1581,200,1758,200
1102,200,1504,200,1492,200,1094,200,1536,200,1800,200
1128,200,1312,200,1456,200,1142,200,1563,200,1874,200
1131,200,1561,200,1711,200,1109,200,1619,200,1781,200
1359,200,1583,200,1521,200,1071,200,1603,200,1776,200
1091,200,1275,200,1532,200,1107,200,1542,200,1773,200
1096,200,1498,200,1505,200,1802,200,1515,200,1802,200
1324,200,1556,200,1564,200,1144,200,1610,200,2128,200
1164,200,1354,200,1543,200,1589,200,1614,200,1872,200
1092,200,1538,200,1490,200,1959,200,1932,200,1825,200
1087,200,1518,200,1502,200,1774,200,1548,200,1769,200
1090,200,1562,200,1502,200,1083,200,1601,200,1772,200
1006,200,1271,200,1550,200,1994,200,1566,200,1917,200
1172,200,1385,200,1470,200,1112,200,1533,200,1782,200
1091,200,1514,200,1665,200,1391,200,1656,200,1848,200
1127,200,1282,200,1551,200,1108,200,1582,200,1771,200
1067,200,1535,200,1528,200,1117,200,1551,200,2027,200
1126,200,1282,200,1511,200,1070,200,1597,200,1805,200
1132,200,1277,200,1596,200,2146,200,1697,200,1751,200
1100,200,1832,200,1511,200,2117,200,1614,200,1728,200
1097,200,1260,200,1516,200,1142,200,1665,200,1730,200
1052,200,1530,200,1487,200,1133,200,1709,200,1783,200
1080,200,1247,200,1525,200,2125,200,1674,200,1741,200
1067,200,1550,200,1463,200,1155,200,1543,200,1814,200
1089,200,1558,200,1460,200,1115,200,1674,200,1775,200
1120,200,1281,200,1463,200,1076,200,1740,200,1758,200
1083,200,1565,200,1529,200,1057,200,1559,200,1719,200
1044,200,1610,200,1653,200,1104,200,1682,200,1773,200
1044,200,1265,200,1456,200,1123,200,1695,200,1773,200
1187,200,1537,200,1444,200,1097,200,1679,200,1770,200
1090,200,1548,200,1524,200,1095,200,1588,200,1704,200
1079,200,1352,200,1499,200,1112,200,1641,200,1761,200
1125,200,1388,200,1471,200,1084,200,1973,200,1738,200
1120,200,1297,200,1458,200,1097,200,1742,200,1846,200
1091,200,1620,200,1534,200,1112,200,1876,200,1832,200
1385,200,1425,200,1497,200,1056,200,1726,200,1762,200
1093,200,1548,200,1596,200,1097,200,2030,200,1889,200
1089,200,1542,200,1485,200,1067,200,1913,200,1826,200
1056,200,1536,200,1512,200,1185,200,1955,200,1769,200
1037,200,1310,200,1513,200,1109,200,1940,200,1767,200
1095,200,1607,200,1457,200,1156,200,2373,200,1838,200
1050,200,1522,200,1493,200,1111,200,2314,200,1747,200
1087,200,1293,200,1393,200,1125,200,1805,200,1791,200
1080,200,1525,200,1505,200,1107,200,2022,200,1813,200
1088,200,1502,200,1490,200,1096,200,1920,200,1831,200
1064,200,1255,200,1510,200,1081,200,2152,200,1933,200
1109,200,1380,200,1462,200,1053,200,2260,200,1813,200
1136,200,1342,200,1485,200,1082,200,1969,200,1784,200
1084,200,1281,200,1514,200,1129,200,1965,200,1781,200
1082,200,1571,200,1484,200,1093,200,2037,200,1743,200
1098,200,1305,200,1482,200,1091,200,1876,200,1912,200
1062,200,1537,200,1541,200,1121,200,1877,200,1826,200
1093,200,1527,200,1442,200,1129,200,1866,200,1775,200
1123,200,1278,200,1472,200,1090,200,1653,200,1723,200
1105,200,1545,200,1544,200,1118,200,1990,200,1836,200
1055,200,1271,200,1473,200,1131,200,1600,200,1763,200
1109,200,1246,200,1513,200,1127,200,1946,200,1772,200
1098,200,1228,200,1543,200,1127,200,1843,200,1696,200
1096,200,1818,200,1475,200,1141,200,1659,200,1773,200
1088,200,1583,200,1526,200,1112,200,1797,200,1763,200
1079,200,1274,200,1504,200,1116,200,2694,200,2319,200
1086,200,1238,200,1510,200,1174,200,1670,200,1778,200
1091,200,1508,200,1499,200,1106,200,1569,200,1895,200
1096,200,1479,200,1523,200,1088,200,1545,200,1998,200
1117,200,1479,200,1534,200,1064,200,1819,200,1822,200
1090,200,1284,200,1515,200,1114,200,2021,200,1968,200
1071,200,1545,200,1465,200,1129,200,1581,200,1750,200
1083,200,1242,200,1479,200,1082,200,1482,200,1861,200
1089,200,1497,200,1482,200,1096,200,1520,200,1924,200
1077,200,1291,200,1444,200,1120,200,1514,200,1832,200
1066,200,1578,200,1470,200,1107,200,1558,200,1741,200
1084,200,1575,200,1465,200,1130,200,1831,200,1754,200
1104,200,1271,200,1487,200,1138,200,1523,200,1867,200
1124,200,1613,200,1517,200,1124,200,1594,200,1796,200
1103,200,1576,200,1501,200,1169,200,1609,200,1764,200
1093,200,1260,200,1514,200,1136,200,1609,200,1803,200
1125,200,1529,200,1483,200,1078,200,1560,200,1937,200
1133,200,1541,200,1553,200,1089,200,1546,200,1766,200
1098,200,1369,200,1483,200,1131,200,1606,200,1734,200
1108,200,1316,200,1487,200,1114,200,1554,200,1744,200
1157,200,1379,200,1494,200,1096,200,1550,200,1877,200
1108,200,1608,200,1514,200,1084,200,1614,200,1705,200
1134,200,1522,200,1734,200,1072,200,1588,200,1737,200
1035,200,1612,200,1520,200,1084,200,1607,200,1773,200
1084,200,1318,200,1465,200,1098,200,1562,200,1755,200
1094,200,1551,200,1533,200,1085,200,1559,200,1864,200
1051,200,1673,200,1685,200,1085,200,1728,200,1775,200
1095,200,1561,200,1585,200,1161,200,1623,200,1761,200
1077,200,1447,200,1587,200,1138,200,1579,200,1778,200
1050,200,1242,200,1543,200,1115,200,1616,200,1761,200
1088,200,1516,200,1580,200,1107,200,1567,200,1766,200
1025,200,1406,200,1665,200,1127,200,1863,200,1857,200
1093,200,1535,200,1739,200,1186,200,1608,200,1758,200
1098,200,1208,200,1699,200,1091,200,1717,200,1795,200
1095,200,1499,200,1715,200,1093,200,1519,200,1894,200
1086,200,1479,200,1708,200,1129,200,1858,200,1820,200
1082,200,1200,200,1794,200,1119,200,1543,200,1770,200
1071,200,1513,200,1935,200,1122,200,1779,200,1809,200
1112,200,1475,200,1848,200,1091,200,1586,200,1924,200
1104,200,1218,200,1723,200,1124,200,1571,200,1781,200
1109,200,1429,200,1827,200,1061,200,1772,200,1740,200
1082,200,1245,200,1709,200,1148,200,1533,200,1736,200
1080,200,1461,200,1856,200,1100,200,1558,200,1868,200
1128,200,1255,200,1766,200,1364,200,1546,200,1777,200
1147,200,1240,200,1818,200,1103,200,1522,200,1762,200
1082,200,1451,200,1818,200,1098,200,1665,200,1856,200
1072,200,1523,200,1623,200,1084,200,1575,200,1785,200
1086,200,1431,200,1773,200,1112,200,1492,200,1804,200
1028,200,1454,200,1837,200,1107,200,1555,200,1742,200
1111,200,1574,200,1635,200,1125,200,1601,200,1756,200
1060,200,1201,200,1783,200,1097,200,1521,200,1755,200
1305,200,1489,200,1887,200,1133,200,1532,200,1761,200
1120,200,1284,200,1605,200,1116,200,1581,200,1782,200
1109,200,1497,200,1721,200,1171,200,1586,200,1820,200
1079,200,1491,200,1676,200,1125,200,1535,200,1769,200
1072,200,1286,200,1558,200,1134,200,1594,200,1729,200
1065,200,1486,200,1667,200,1144,200,1614,200,1766,200
1090,200,1279,200,1482,200,1094,200,1551,200,1770,200
1085,200,1503,200,1639,200,1124,200,1530,200,1751,200
1080,200,1404,200,1474,200,1113,200,1605,200,1802,200
1098,200,1629,200,1615,200,1057,200,1588,200,1711,200
1049,200,1734,200,1507,200,1182,200,1543,200,1931,200
1119,200,1324,200,1510,200,1106,200,1586,200,1720,200
1125,200,1487,200,1500,200,1141,200,1563,200,1839,200
1064,200,1606,200,1465,200,1099,200,1544,200,1769,200
1076,200,1727,200,1491,200,1110,200,1476,200,1792,200
1129,200,1435,200,1472,200,1095,200,1555,200,1763,200
1070,200,1554,200,1400,200,1145,200,1531,200,1902,200
1025,200,1312,200,1573,200,1150,200,1624,200,1777,200
1078,200,1641,200,1471,200,1098,200,1546,200,1809,200
1312,200,1762,200,1495,200,1095,200,1555,200,1836,200
1083,200,1326,200,1440,200,1175,200,1564,200,1712,200
1123,200,1463,200,1494,200,1113,200,1493,200,1749,200
1076,200,1266,200,1465,200,1137,200,1539,200,1849,200
1052,200,1686,200,1496,200,1140,200,1588,200,1784,200
1083,200,1375,200,1481,200,1134,200,1559,200,1721,200
1097,200,1596,200,1527,200,1067,200,1562,200,1669,200
1080,200,1288,200,1500,200,1099,200,1544,200,1918,200
1061,200,1491,200,1460,200,1385,200,1566,200,1752,200
1090,200,1291,200,1497,200,1074,200,1572,200,1782,200
1095,200,1464,200,1544,200,1185,200,1488,200,1750,200
1120,200,1336,200,1559,200,1052,200,1628,200,2134,200
1121,200,1906,200,1479,200,1182,200,1552,200,1828,200
1020,200,1685,200,1590,200,1134,200,1574,200,1749,200
1094,200,1572,200,1521,200,1110,200,1696,200,2033,200
1070,200,1969,200,1510,200,1108,200,1531,200,1771,200
1118,200,1557,200,1522,200,1102,200,1582,200,1836,200
1086,200,1276,200,1518,200,1135,200,1700,200,1754,200
1092,200,1305,200,1465,200,1081,200,1614,200,1889,200
1209,200,1291,200,1503,200,1076,200,1656,200,1771,200
1130,200,1540,200,1475,200,1081,200,1606,200,1765,200
1365,200,1386,200,1493,200,1104,200,1583,200,1855,200
1125,200,1340,200,1482,200,1115,200,1567,200,1898,200
1063,200,1427,200,1484,200,1101,200,1558,200,1793,200
1099,200,1246,200,1502,200,1114,200,1519,200,1813,200
1161,200,1547,200,1504,200,1185,200,1494,200,1841,200
1388,200,1853,200,1493,200,1098,200,1577,200,1776,200
1064,200,1255,200,1524,200,1140,200,1547,200,1742,200
1083,200,1546,200,1505,200,1123,200,1497,200,1844,200
1152,200,1506,200,1517,200,1112,200,1539,200,1783,200
1047,200,1258,200,1470,200,1110,200,1630,200,1769,200
1104,200,1489,200,1508,200,1125,200,1564,200,1710,200
1125,200,1289,200,1511,200,1109,200,1593,200,1866,200
1097,200,1323,200,1521,200,1143,200,1499,200,1847,200
1111,200,1268,200,1510,200,1086,200,1585,200,1752,200
1084,200,1284,200,1495,200,1137,200,1525,200,1775,200
1057,200,1496,200,1539,200,1086,200,1526,200,1785,200
1345,200,1504,200,1511,200,1120,200,1566,200,1740,200
1188,200,1491,200,1510,200,1107,200,1513,200,1722,200
1087,200,1553,200,1513,200,1128,200,1485,200,1785,200
1095,200,1460,200,1494,200,1091,200,1536,200,1855,200
1032,200,1282,200,1488,200,1092,200,1586,200,1800,200
1089,200,1457,200,1457,200,1594,200,1528,200,1764,200
1130,200,1259,200,1510,200,1851,200,1545,200,1753,200
1074,200,1387,200,1495,200,1239,200,1571,200,1739,200
1041,200,1305,200,1527,200,1177,200,1571,200,1694,200
1089,200,1605,200,1488,200,1078,200,1636,200,1848,200
1062,200,1591,200,1521,200,1101,200,1539,200,1762,200
1111,200,1181,200,1478,200,1096,200,1642,200,1787,200
1132,200,1514,200,1485,200,1138,200,1568,200,1845,200
1069,200,1441,200,1838,200,1098,200,1889,200,1792,200
1096,200,1584,200,1496,200,1115,200,1649,200,1774,200
1071,200,1529,200,1527,200,2099,200,1585,200,1765,200
1067,200,1257,200,1479,200,1082,200,1722,200,1718,200
1080,200,1373,200,1458,200,1058,200,1616,200,1860,200
1094,200,1681,200,1496,200,1083,200,1698,200,1716,200
1111,200,1247,200,1502,200,1120,200,1667,200,1823,200
1066,200,1445,200,1581,200,1126,200,1657,200,1794,200
1048,200,1602,200,1448,200,1065,200,1676,200,1778,200
1063,200,1384,200,1496,200,1075,200,1632,200,1747,200
1119,200,1580,200,1786,200,1084,200,1678,200,1779,200
1055,200,1548,200,1500,200,1102,200,1597,200,1774,200
1079,200,1268,200,1478,200,1116,200,1650,200,1750,200
1115,200,1494,200,1493,200,1094,200,1576,200,1770,200
1083,200,1457,200,1514,200,1101,200,1601,200,1749,200
1363,200,1274,200,1510,200,1101,200,1633,200,1730,200
1065,200,1561,200,1507,200,1157,200,1697,200,1768,200
1078,200,1257,200,1509,200,1117,200,1594,200,1797,200
1080,200,1608,200,1562,200,1351,200,1531,200,1811,200
1075,200,1217,200,1527,200,1082,200,1649,200,1845,200
1398,200,1484,200,1509,200,1089,200,1552,200,1799,200
1090,200,1322,200,1472,200,1131,200,1644,200,1788,200
1092,200,1644,200,1522,200,1099,200,1534,200,1773,200
1099,200,1599,200,1473,200,1121,200,1613,200,1792,200
1096,200,1282,200,1472,200,1079,200,1686,200,1712,200
1042,200,1510,200,1472,200,1084,200,1571,200,1790,200
1105,200,1538,200,1498,200,1121,200,1717,200,1746,200
1121,200,1237,200,2179,200,1095,200,1542,200,1859,200
1012,200,1522,200,1452,200,1134,200,1581,200,1817,200
1132,200,1266,200,1448,200,1091,200,1531,200,1748,200
1113,200,1623,200,1482,200,1171,200,1565,200,1779,200
1394,200,1263,200,1464,200,1141,200,1500,200,1786,200
1139,200,1559,200,1463,200,1048,200,1797,200,1777,200
1104,200,1596,200,1496,200,1112,200,1691,200,1733,200
1086,200,1224,200,1494,200,1103,200,1520,200,1977,200
1058,200,1401,200,1509,200,1094,200,1556,200,1864,200
1058,200,1629,200,1506,200,1101,200,1530,200,1760,200
1346,200,1657,200,1462,200,1129,200,1503,200,1767,200
1093,200,1228,200,1468,200,1116,200,1538,200,1754,200
1073,200,1283,200,1516,200,1079,200,1662,200,1898,200
1068,200,1614,200,1484,200,1043,200,1795,200,1744,200
1087,200,1510,200,1476,200,1195,200,1548,200,1907,200
1097,200,1477,200,1512,200,1084,200,1696,200,1781,200
1084,200,1511,200,1465,200,1138,200,1617,200,1741,200
1103,200,1261,200,1469,200,1116,200,1628,200,1852,200
1061,200,1539,200,1470,200,1117,200,1593,200,1810,200
1056,200,1541,200,1466,200,1073,200,1605,200,1881,200
1093,200,1277,200,1483,200,1154,200,1739,200,1823,200
1119,200,1358,200,1418,200,1084,200,1710,200,1845,200
1099,200,1603,200,1553,200,1046,200,1598,200,1784,200
1096,200,1510,200,1447,200,1126,200,1573,200,1715,200
1059,200,1386,200,1483,200,1077,200,1557,200,1805,200
1051,200,1299,200,1505,200,1054,200,1655,200,1782,200
1109,200,1567,200,1496,200,1086,200,1685,200,1884,200
1067,200,1259,200,1482,200,1138,200,1625,200,1753,200
1088,200,1247,200,1548,200,1109,200,1633,200,1785,200
1056,200,1576,200,1458,200,1120,200,1646,200,1939,200
1081,200,1318,200,1475,200,1118,200,1532,200,1755,200
1105,200,1599,200,1534,200,1137,200,1639,200,1775,200
1054,200,1431,200,1509,200,1102,200,1515,200,1760,200
1078,200,1337,200,1431,200,1124,200,1739,200,1884,200
1131,200,1585,200,1523,200,1095,200,1669,200,1731,200
1079,200,1626,200,1520,200,1126,200,1840,200,1863,200
1102,200,1631,200,1469,200,1125,200,1695,200,1830,200
1114,200,1631,200,1470,200,1134,200,1694,200,1721,200
1121,200,1351,200,1475,200,1126,200,1752,200,1759,200
