Test_1,Test_2,Test_3,Test_4
279,299,271,278
334,366,294,293
294,584,287,284
286,328,288,298
339,385,255,296
306,1327,262,308
276,358,249,261
292,1494,243,294
294,308,269,353
276,317,297,326
253,1228,284,352
283,1278,358,324
278,381,381,526
283,1281,494,302
416,329,336,332
308,397,326,314
365,364,305,283
286,1245,260,316
270,1210,213,289
308,402,267,303
385,340,241,309
266,1298,270,283
482,327,257,328
299,385,251,300
317,379,277,371
284,1274,270,287
285,360,214,310
312,334,269,331
290,1225,254,325
313,1297,235,331
295,316,275,335
277,469,227,298
292,362,258,308
272,429,240,268
370,1313,462,321
309,311,257,320
320,368,325,280
272,448,312,320
277,299,338,276
333,384,270,282
295,398,247,294
298,355,234,307
258,342,310,266
299,571,290,367
283,386,245,269
317,323,344,328
288,1334,291,302
269,318,245,328
301,391,253,305
299,320,289,342
306,360,258,303
280,344,272,306
323,342,242,304
263,311,269,323
277,344,252,360
312,313,260,311
271,336,298,285
328,312,275,258
285,349,258,307
315,306,296,315
287,411,252,307
296,336,289,321
257,328,252,275
323,356,263,303
257,325,282,287
310,329,294,260
286,298,247,321
288,280,274,324
354,352,253,303
406,318,297,319
324,323,368,304
295,291,268,309
278,341,450,328
302,285,237,350
320,343,268,317
294,337,273,316
284,360,273,283
334,282,291,298
318,347,277,492
269,320,292,306
292,292,257,306
291,336,252,347
285,366,275,302
250,306,243,315
297,371,255,284
287,284,254,305
308,331,276,320
319,344,214,330
274,310,255,279
298,352,266,291
275,345,241,303
262,301,300,287
301,333,386,267
228,348,212,259
293,360,486,303
351,363,280,284
315,286,314,326
312,333,281,261
311,336,256,289
333,366,291,320
279,331,288,294
281,299,229,363
306,306,291,311
302,321,245,291
321,284,219,539
277,324,236,323
283,302,291,325
279,283,273,296
285,357,255,260
308,401,288,316
318,349,1038,324
274,306,962,288
291,285,217,312
291,325,274,279
292,294,968,282
288,338,317,307
296,330,263,283
265,390,263,315
283,376,402,325
287,307,218,334
272,383,370,331
265,312,421,288
265,294,245,258
319,339,254,291
381,345,456,321
334,284,327,321
286,333,331,277
344,304,299,312
401,346,430,273
314,316,264,322
260,291,294,269
321,365,259,283
253,318,349,307
266,307,270,285
283,310,266,292
288,567,388,294
297,315,347,317
264,294,285,267
312,327,312,316
278,354,252,295
321,313,326,283
294,332,249,307
299,358,460,260
285,339,247,292
260,322,255,277
328,336,210,287
253,343,240,329
278,285,273,301
290,342,256,305
282,320,256,273
296,329,263,263
332,309,247,297
328,317,260,304
302,340,256,299
261,339,276,327
294,315,267,279
296,293,346,342
300,311,209,285
290,377,257,262
287,348,271,334
276,341,311,305
305,278,229,292
248,373,254,313
303,335,271,316
319,319,256,295
286,312,263,336
311,299,240,278
301,359,322,310
245,302,260,279
502,341,263,335
324,279,292,308
301,324,210,337
336,332,289,326
319,281,307,304
305,349,257,309
232,320,291,314
330,328,299,293
284,336,309,279
288,341,248,332
349,283,305,294
417,334,259,298
236,374,217,306
313,329,268,267
264,297,266,335
335,338,250,317
401,291,305,288
461,365,269,262
292,326,444,298
290,306,311,343
275,290,231,299
333,293,259,328
287,381,296,310
321,337,240,302
310,306,247,306
296,369,262,308
268,311,294,314
269,858,268,303
282,357,251,272
301,325,236,285
262,283,255,277
290,310,210,298
308,358,283,301
331,375,212,274
302,353,248,331
274,371,282,294
1095,353,252,297
348,311,260,326
301,335,214,260
324,309,267,276
302,338,230,350
285,340,432,264
344,343,215,295
288,338,230,292
271,285,256,260
271,347,268,262
360,325,245,321
263,357,259,322
318,345,282,315
295,352,249,310
377,345,212,309
325,313,271,294
308,339,239,281
297,330,278,261
265,283,213,310
270,360,260,275
229,293,319,522
339,358,262,2057
294,345,286,2002
264,316,264,2116
286,316,241,2195
315,350,241,2319
284,356,269,2283
222,335,291,321
268,292,301,311
267,307,247,333
342,283,216,336
291,335,269,296
411,299,213,288
315,328,268,375
282,361,256,264
332,316,284,255
406,300,272,306
289,346,217,300
232,288,261,319
263,286,268,289
301,299,262,296
368,383,227,317
305,336,258,311
297,365,212,280
270,327,235,308
305,290,212,268
280,353,267,360
294,435,229,286
263,317,241,1132
310,384,264,307
276,335,260,1101
303,349,236,333
232,303,264,299
285,362,287,333
319,313,213,258
276,415,255,323
260,287,273,313
288,406,257,292
251,356,219,1151
303,336,265,319
291,331,271,315
279,288,268,283
298,359,218,257
314,343,264,339
258,328,281,317
311,342,275,1138
307,291,294,315
275,325,218,324
297,382,292,323
301,336,267,281
326,311,249,306
291,327,254,275
298,276,269,257
368,327,263,1171
295,288,236,304
290,318,213,288
318,352,274,260
324,319,264,305
292,291,259,328
230,335,245,309
296,279,230,293
297,347,298,299
296,326,276,318
276,291,291,279
272,323,252,503
308,349,232,260
508,335,273,324
464,348,272,293
322,312,245,286
446,286,278,294
392,346,249,265
331,341,253,311
361,281,275,306
341,363,262,288
397,340,214,342
461,328,213,277
333,331,265,320
340,284,212,314
309,336,249,317
289,340,308,266
285,339,274,261
319,330,280,330
289,339,246,286
274,393,215,331
283,292,217,298
329,343,452,284
273,284,294,329
249,316,246,263
284,291,250,335
333,353,269,311
274,312,310,315
300,279,260,286
248,317,279,258
343,380,254,288
286,291,295,341
1251,339,241,318
262,361,268,311
243,333,251,259
334,341,290,300
327,352,277,333
292,317,300,391
238,340,261,254
309,325,252,331
323,292,265,303
274,348,287,277
278,282,261,407
261,365,299,396
260,289,264,296
301,378,239,269
283,346,283,328
279,318,335,331
281,310,248,278
363,334,208,322
323,403,253,255
325,333,297,267
304,287,241,302
298,282,287,319
294,345,266,289
235,350,255,287
232,347,261,327
296,297,268,260
263,357,223,341
284,342,308,396
327,345,258,320
298,304,213,313
267,280,285,259
262,344,244,320
287,328,281,296
298,291,281,266
395,321,263,301
337,287,215,320
444,376,253,280
277,330,266,269
311,329,208,256
229,322,269,291
235,316,207,291
418,328,258,271
312,360,212,296
378,284,258,294
287,358,275,307
281,350,229,261
291,294,298,294
292,367,279,353
281,338,211,271
265,337,290,256
227,280,278,311
297,361,272,336
292,284,264,311
324,334,262,254
302,283,209,294
238,304,214,291
307,373,269,302
261,290,320,316
288,330,266,312
294,345,248,319
270,306,252,323
251,291,213,292
286,285,225,302
291,326,213,258
314,285,262,310
319,350,250,302
256,328,208,258
312,293,253,310
226,563,282,309
341,338,298,317
304,330,276,302
348,316,228,259
301,374,254,300
277,288,281,321
305,284,262,305
317,348,319,366
308,349,414,308
291,567,348,255
295,323,346,323
308,304,511,314
231,312,576,298
306,334,216,280
234,292,301,258
304,336,281,299
313,350,267,340
297,286,262,294
315,360,255,299
307,317,242,282
284,336,257,267
236,284,266,312
288,326,210,257
291,342,268,261
310,366,257,313
278,350,233,308
283,337,220,257
269,342,259,334
480,329,271,292
448,388,211,304
385,287,246,349
321,362,211,295
307,301,252,289
286,349,244,258
303,311,254,256
376,346,237,287
439,314,255,256
268,289,241,284
292,308,231,305
290,365,279,321
292,283,210,334
354,329,251,303
323,304,237,258
327,317,247,271
296,328,231,325
319,284,211,260
277,353,239,257
304,337,209,320
279,351,210,299
270,343,263,317
296,284,270,295
230,344,232,295
287,308,286,263
333,298,262,504
297,340,224,337
292,306,432,295
305,385,213,267
488,337,264,481
341,280,270,323
312,284,251,260
288,288,260,294
321,376,244,271
308,340,212,334
281,316,252,311
370,337,270,295
317,328,259,271
305,283,260,333
253,309,270,277
296,345,218,307
339,301,313,281
246,309,261,263
296,312,260,318
365,373,266,297
272,330,269,284
380,330,268,312
322,360,274,317
277,286,233,335
316,349,240,293
279,331,299,262
258,323,283,298
259,337,226,356
232,335,282,308
266,348,210,258
295,351,242,317
265,353,302,321
345,344,209,291
299,324,212,316
263,310,264,263
248,286,252,292
326,316,285,335
444,318,237,294
386,293,1030,265
293,330,262,258
357,313,278,287
352,371,209,277
445,283,264,287
344,323,246,320
307,344,208,257
293,311,211,267
306,398,283,332
295,366,283,315
275,336,226,290
243,364,254,344
241,339,920,298
313,290,262,292
284,326,276,330
312,367,249,326
296,353,262,257
276,314,215,318
303,327,305,295
271,297,268,258
234,287,209,313
333,372,251,300
284,337,249,257
273,354,212,312
285,295,259,302
298,289,242,287
234,345,269,302
279,328,212,284
311,325,229,250
324,288,303,307
315,352,256,335
285,367,248,261
289,329,269,292
278,365,273,321
224,319,257,301
293,286,209,265
227,285,241,285
295,355,259,258
286,320,210,308
237,311,267,256
287,288,270,347
263,355,237,260
235,313,221,257
313,334,256,329
287,283,243,282
256,338,229,295
298,339,274,310
299,342,253,324
285,294,211,312
291,345,250,291
291,345,255,319
339,286,239,274
294,344,215,281
243,328,268,301
315,354,272,310
274,322,210,300
302,315,275,260
260,341,257,331
282,292,251,324
262,350,217,282
233,290,247,291
297,330,212,255
292,337,294,304
273,342,255,268
364,343,268,332
420,317,270,270
289,284,249,328
296,350,240,290
239,290,272,311
402,335,279,253
336,343,263,256
289,286,210,339
302,346,259,295
247,377,263,257
283,354,265,335
308,330,210,308
268,293,293,260
291,304,258,317
285,328,211,293
272,348,270,273
230,306,211,335
303,286,253,273
275,320,255,281
228,343,214,257
287,335,267,314
285,296,273,268
302,340,213,253
321,320,247,315
275,289,256,309
281,347,214,310
262,281,254,293
232,333,248,355
274,407,209,292
279,356,210,319
268,349,282,320
225,356,209,317
318,315,267,281
324,282,289,250
293,282,263,296
264,426,230,288
305,333,210,273
299,292,262,261
298,423,208,261
290,332,284,300
261,320,472,279
290,373,277,282
242,355,247,492
299,296,263,314
246,289,270,307
307,290,245,281
308,325,273,265
306,289,242,321
295,307,262,260
257,339,253,276
233,350,210,254
262,351,264,310
281,367,282,258
220,317,240,329
301,320,238,303
269,285,271,268
315,320,271,255
301,388,246,288
226,291,268,292
294,319,208,309
273,316,285,263
291,331,256,296
288,293,213,299
265,343,250,258
361,331,274,304
269,284,273,252
382,289,278,279
336,297,256,261
321,383,263,315
311,1310,216,292
346,377,223,278
296,356,228,325
230,281,246,292
266,338,246,320
348,323,214,306
311,290,266,273
327,368,251,284
296,345,210,255
276,292,259,348
231,306,207,325
279,290,277,354
310,377,269,262
287,327,227,306
226,286,210,324
309,332,270,326
287,320,267,264
307,297,260,329
266,360,272,396
240,283,231,264
348,321,231,307
281,286,241,249
227,373,246,309
315,369,209,277
329,327,271,258
304,285,245,301
235,328,250,314
231,283,227,264
303,337,208,330
300,338,214,279
547,568,229,282
260,287,286,256
320,353,263,336
251,320,212,289
280,370,251,252
281,317,229,302
243,285,211,257
333,370,266,339
289,328,247,294
321,284,217,312
264,369,243,251
327,286,220,304
226,326,246,287
334,293,250,303
291,290,288,279
313,368,234,337
242,337,233,257
315,354,290,307
280,343,240,269
283,326,210,270
304,321,210,296
302,327,259,316
324,291,210,319
295,297,238,291
311,349,270,287
275,363,245,337
316,291,309,257
237,337,271,283
306,283,234,258
289,325,242,361
297,284,212,285
315,324,212,315
295,366,260,310
300,309,267,260
250,325,266,327
371,369,250,258
428,283,241,333
321,364,248,319
293,345,212,291
311,282,307,257
406,360,259,307
349,323,212,275
260,335,253,326
292,326,272,290
309,282,232,309
282,296,211,259
280,357,213,259
229,344,304,291
232,291,267,314
270,338,281,256
234,358,263,311
305,289,262,274
271,322,308,258
228,315,267,317
290,328,227,310
300,301,288,248
255,371,256,369
237,290,239,264
268,342,246,316
317,342,286,313
307,299,209,334
1123,342,255,398
248,283,244,372
307,319,214,296
276,390,245,258
228,288,247,338
260,359,244,301
322,334,253,276
242,341,292,262
265,318,257,292
236,378,209,306
303,311,252,254
299,281,211,328
260,292,241,298
291,287,240,246
275,351,239,320
240,308,239,281
302,352,241,304
242,282,258,293
332,288,263,253
318,361,210,328
238,310,270,291
306,342,252,271
235,288,245,390
303,290,209,295
288,358,208,353
256,338,294,308
301,366,276,297
289,303,242,304
299,369,212,300
234,357,268,308
311,287,250,252
304,363,213,335
260,333,213,301
227,312,272,259
277,361,244,316
286,288,212,259
273,370,269,303
240,292,287,308
288,339,259,309
276,283,221,309
254,332,247,285
340,326,214,299
279,320,257,298
251,380,210,257
287,324,279,343
242,291,242,336
364,349,210,289
265,314,256,252
326,282,224,286
350,327,294,314
467,296,270,335
406,301,424,300
303,316,242,257
289,289,213,253
239,365,248,309
239,326,270,264
233,284,300,310
374,282,290,315
324,365,240,336
466,340,221,256
301,338,258,298
281,303,245,281
326,360,252,315
314,339,210,316
274,346,273,254
223,285,226,295
292,347,291,255
292,283,229,415
330,353,208,400
230,340,283,299
309,291,230,348
296,346,326,332
237,290,211,273
291,332,288,321
261,300,231,353
313,340,256,338
305,288,308,295
240,346,264,580
308,360,211,254
241,347,428,255
342,297,247,339
302,323,236,328
330,290,211,286
296,372,210,284
262,351,290,311
324,316,262,288
333,365,250,317
299,286,212,276
252,362,275,246
277,366,266,315
372,329,223,274
230,286,210,346
291,292,260,294
295,342,248,326
297,315,213,256
322,325,210,324
249,348,259,249
338,317,262,311
293,295,246,298
232,281,291,288
312,396,209,256
288,333,260,315
279,288,267,1270
269,338,286,311
228,325,286,317
237,291,210,267
299,360,296,319
233,310,208,272
310,329,272,251
271,284,211,257
237,653,273,320
280,314,286,323
308,283,216,312
267,369,318,265
241,334,272,264
270,352,265,350
482,303,264,322
312,358,289,288
282,285,240,256
238,359,278,283
292,303,210,250
304,347,255,322
305,345,216,315
277,286,267,252
308,348,271,254
419,288,243,330
368,314,211,292
299,372,211,261
266,295,256,321
353,385,267,274
234,344,265,249
235,338,229,289
237,344,301,292
378,341,213,257
323,361,257,286
370,309,215,336
315,295,258,255
313,288,211,328
298,327,248,301
291,282,291,326
311,311,210,278
305,287,259,256
305,315,212,313
251,280,269,254
276,321,223,323
285,313,265,277
243,367,211,318
268,286,251,284
238,329,210,287
306,287,257,294
241,370,244,255
235,327,263,261
300,282,209,351
266,575,288,308
229,358,254,288
265,291,293,255
298,336,213,317
296,284,287,254
239,362,217,317
296,366,291,314
317,290,213,256
272,333,254,285
240,322,244,351
224,293,251,257
280,331,214,303
269,286,211,305
324,320,295,263
314,286,251,316
296,352,240,291
228,312,213,297
306,282,252,330
283,326,271,283
270,284,269,254
258,366,243,255
292,306,214,257
302,320,273,359
266,329,247,336
326,336,242,302
325,293,266,290
282,323,249,278
225,292,270,317
311,343,272,318
285,307,258,254
316,292,218,249
272,315,264,314
236,282,302,301
310,319,252,286
242,389,210,330
228,442,257,276
296,350,213,255
301,432,285,259
267,357,243,319
236,414,214,331
246,319,211,265
299,303,259,299
231,441,248,297
316,456,269,342
240,362,213,254
238,423,210,308
348,550,271,291
272,357,247,253
328,366,214,312
345,346,291,246
401,283,210,337
238,285,284,315
307,292,210,259
265,329,257,299
233,339,207,302
297,291,244,254
227,363,254,304
237,324,210,313
228,353,208,315
295,354,278,294
367,287,251,265
229,345,210,249
265,325,239,293
287,579,250,322
230,358,210,257
272,294,267,339
234,379,213,296
247,358,249,279
323,289,246,252
265,316,210,278
233,1425,279,253
227,298,208,332
316,296,273,288
284,373,211,256
260,331,278,303
232,1191,232,254
229,307,211,292
294,368,255,250
299,1209,223,315
232,288,213,300
298,352,280,255
294,281,249,304
228,1205,215,310
287,367,262,252
288,327,221,318
294,352,271,288
297,321,249,330
312,342,249,376
289,296,213,323
243,381,236,338
236,294,293,313
252,370,211,311
320,289,207,344
243,285,234,296
302,362,210,251
297,336,257,313
231,411,279,257
349,460,209,253
299,320,270,293
240,445,245,307
272,292,210,259
352,404,248,331
297,313,237,307
281,294,262,256
244,315,218,319
250,350,250,275
308,337,276,331
303,283,265,324
241,324,248,262
315,284,208,290
272,294,289,257
235,290,216,266
283,346,286,306
245,288,211,314
318,341,257,259
302,316,238,303
235,320,243,313
304,279,212,328
296,315,240,286
298,371,208,295
268,283,289,258
228,332,239,305
281,293,226,298
294,300,211,256
257,353,258,334
232,284,268,283
240,327,209,253
304,331,211,299
261,292,272,300
288,350,271,279
229,351,267,264
456,351,253,254
324,323,216,273
345,353,290,343
403,356,210,253
292,323,255,321
338,281,281,288
276,341,288,289
296,327,253,252
245,371,242,317
415,329,208,336
314,292,251,254
233,302,253,258
320,362,213,341
279,283,218,324
281,292,208,325
228,349,244,292
328,332,302,306
306,287,259,316
257,286,240,256
222,342,268,261
252,291,240,331
317,368,212,254
284,354,212,307
318,336,239,256
247,289,277,290
301,321,270,291
252,284,268,304
249,340,209,310
237,582,261,312
319,366,210,251
310,338,264,289
242,338,268,250
1148,291,211,516
304,328,255,319
235,325,241,252
259,285,210,517
242,339,266,332
313,341,213,258
311,300,270,310
245,291,213,318
279,325,246,280
299,344,251,346
255,357,238,299
262,287,243,292
267,356,210,264
244,317,249,314
295,288,266,533
246,332,210,338
310,287,270,300
316,344,229,317
277,297,209,287
303,347,254,254
305,316,286,263
232,290,214,277
284,285,269,350
298,324,254,324
307,285,213,287
292,341,275,263
239,289,254,289
317,387,211,279
259,334,238,294
239,290,210,260
329,327,283,249
233,286,269,284
337,323,271,322
293,346,251,262
229,328,243,297
293,292,249,267
269,288,211,319
308,336,212,265
234,287,260,301
291,343,210,309
324,288,284,298
250,330,250,257
294,309,292,257
319,330,213,297
271,284,302,355
318,330,257,264
323,327,225,302
382,293,212,275
441,353,225,296
352,347,228,261
293,290,264,270
299,367,211,250
338,283,212,294
284,367,255,266
402,351,266,268
223,325,212,328
297,305,242,309
252,287,243,261
265,331,210,333
231,338,269,291
234,347,276,299
228,296,241,292
292,283,209,305
268,339,246,309
227,293,249,260
328,325,213,274
294,320,255,335
229,346,213,250
320,326,210,325
226,294,291,289
280,310,210,264
313,292,285,315
295,285,338,280
267,338,208,255
265,292,255,282
242,347,258,294
226,281,213,254
304,329,267,289
226,421,242,306
298,330,210,253
229,340,210,325
300,338,211,316
235,291,288,290
303,365,231,252
295,318,218,296
237,285,303,347
305,292,257,327
252,354,223,323
271,292,210,253
251,322,266,278
300,290,268,285
292,321,209,419
250,292,209,253
309,326,251,283
295,297,307,265
349,321,296,319
372,318,248,266
312,286,209,258
256,312,254,324
232,361,336,297
310,294,280,308
251,305,214,316
333,366,210,335
309,291,269,309
310,300,216,261
273,355,269,251
232,285,253,308
300,321,226,270
229,336,208,313
283,287,211,280
286,346,283,258
227,305,265,335
256,322,211,322
228,289,289,361
288,338,244,266
237,286,269,251
236,358,270,312
323,292,247,317
231,340,210,294
327,308,256,284
288,293,210,329
306,288,300,253
258,334,216,307
336,328,283,306
321,314,211,317
355,309,273,313
303,293,219,264
261,339,260,324
272,289,284,249
291,345,241,324
368,316,279,294
307,294,299,287
430,320,243,258
264,297,211,299
436,324,235,263
228,291,210,312
311,338,280,264
287,288,210,253
240,286,277,308
246,345,338,294
421,325,295,270
368,497,420,256
301,294,210,295
231,329,268,263
236,291,236,303
270,344,267,249
325,309,213,315
283,292,210,266
226,345,242,255
358,292,219,315
230,328,214,327
284,287,271,298
231,297,254,268
231,308,270,312
295,344,266,250
303,321,211,312
230,389,248,301
322,315,211,257
308,332,293,305
302,438,283,266
303,379,427,314
226,334,264,305
293,295,212,266
254,292,264,312
290,333,208,251
234,357,292,301
294,361,240,257
227,326,218,330
312,316,233,301
297,376,255,263
238,288,213,255
313,340,259,320
246,286,211,324
280,292,246,250
243,374,245,299
317,333,276,291
225,293,211,254
316,372,285,291
233,298,246,275
259,350,210,258
233,308,261,279
274,311,265,265
224,312,215,250
287,291,253,271
231,291,216,310
293,365,214,253
246,312,248,305
318,287,214,281
302,321,295,256
261,283,285,308
276,343,216,328
229,289,281,252
278,327,248,332
270,315,271,337
289,316,217,362
238,303,252,333
277,295,208,395
272,359,294,256
233,310,255,339
278,289,242,299
297,341,211,314
316,288,267,259
321,322,289,297
272,310,211,313
266,352,251,270
230,351,214,257
322,291,245,312
271,293,216,315
232,324,273,247
294,308,212,307
298,369,293,286
302,350,215,252
274,334,256,260
229,300,214,340
315,349,239,331
281,296,211,307
253,344,264,253
307,304,253,331
415,337,210,303
359,299,211,317
296,316,228,255
250,287,286,324
377,344,251,323
266,328,210,317
257,285,275,250
294,326,212,302
380,289,213,295
231,293,293,1138
232,359,238,301
231,285,258,286
334,365,209,260
395,345,264,307
294,364,208,253
292,334,212,323
232,298,290,339
283,320,262,257
301,310,223,286
477,330,211,295
230,309,273,303
248,288,234,292
302,366,212,250
335,304,232,297
299,343,211,258
303,285,239,323
290,328,211,277
282,326,268,258
285,374,211,310
226,344,239,329
306,376,256,249
283,293,209,289
301,332,242,273
343,305,209,289
305,350,285,255
279,358,267,324
228,312,243,292
364,296,212,259
238,334,247,249
303,332,250,307
275,285,208,268
231,367,264,321
277,364,284,262
264,338,210,323
230,384,237,316
226,303,211,284
302,347,265,247
232,354,266,287
284,310,213,276
253,346,306,264
280,331,271,294
234,395,246,277
328,386,209,324
292,329,213,309
304,299,275,250
299,328,238,339
277,289,217,290
339,353,257,264
261,289,214,308
226,296,212,315
321,437,260,260
271,282,245,263
235,337,215,310
268,343,272,315
276,342,220,330
236,303,211,304
239,363,210,310
310,341,248,307
228,284,218,294
233,366,240,311
309,359,246,258
321,286,211,339
277,310,285,319
292,286,224,323
225,335,268,289
298,341,208,375
261,364,255,251
229,287,211,509
307,293,245,324
264,291,262,288
228,372,213,263
234,356,277,260
315,314,269,343
244,333,210,257
328,317,270,319
308,283,217,274
282,304,258,255
264,291,212,281
274,291,281,301
274,357,211,263
229,285,261,284
421,378,211,302
364,327,287,266
333,292,211,258
262,337,239,327
319,284,221,326
285,344,266,285
277,284,232,296
241,368,236,273
242,323,211,317
225,317,277,304
226,288,210,290
405,292,252,257
301,311,256,315
365,583,243,299
358,295,257,267
302,313,230,323
292,319,210,292
238,299,242,286
230,357,254,324
382,284,261,292
267,349,229,256
343,319,249,275
302,300,213,332
236,294,243,264
315,339,267,260
234,338,207,303
279,333,279,318
314,372,212,293
236,319,261,307
227,346,270,259
316,344,213,277
256,309,267,258
261,293,239,324
240,289,227,299
271,327,261,274
237,314,272,251
281,294,272,283
243,365,228,309
298,336,211,254
239,289,242,311
313,291,237,257
232,330,213,302
277,319,250,249
231,295,214,311
330,322,216,427
287,304,255,264
323,329,290,319
231,303,283,279
289,287,251,296
292,360,251,497
223,311,210,258
230,284,274,333
324,291,236,249
293,353,215,320
295,324,222,313
301,298,214,265
291,337,267,293
290,324,262,315
283,282,212,296
232,344,209,259
281,319,285,344
224,319,240,251
394,293,240,311
283,293,210,312
234,345,209,281
312,601,264,288
277,290,212,270
261,385,213,255
266,343,285,369
243,290,269,314
289,294,210,258
245,374,251,257
323,324,218,333
228,342,274,300
304,292,248,259
268,342,253,314
291,284,212,319
237,343,245,254
302,332,232,263
272,320,212,330
264,561,211,301
226,289,261,247
238,284,265,515
303,358,235,257
272,350,255,283
222,319,212,343
280,290,248,298
235,309,260,277
236,287,249,337
303,332,244,262
298,294,215,258
411,320,265,338
462,345,210,293
359,326,285,252
304,284,214,295
252,289,256,301
245,342,215,292
245,288,235,283
246,361,211,309
230,335,286,247
223,290,245,281
417,299,209,619
393,301,209,259
312,345,209,312
300,333,285,277
302,299,287,263
277,341,245,278
232,288,235,249
288,294,217,311
238,348,219,305
237,318,306,256
299,328,261,308
255,300,211,265
316,286,212,319
235,336,262,276
290,293,273,285
234,350,210,293
314,333,291,335
300,305,211,268
302,284,272,319
233,336,252,309
279,336,215,316
231,300,295,276
298,285,253,320
549,358,247,321
286,319,212,295
1106,323,214,253
252,346,266,251
296,292,276,251
248,337,215,259
305,332,210,268
242,344,255,296
309,337,210,317
301,286,240,328
291,306,212,341
238,398,284,328
293,359,251,513
232,293,209,307
304,325,210,544
336,279,241,298
310,322,219,291
235,287,247,528
230,292,246,262
324,315,220,298
300,374,212,509
230,363,263,260
303,291,209,298
231,299,275,540
296,289,263,255
280,278,210,300
231,364,265,290
292,319,216,289
232,329,292,270
318,292,211,333
254,290,285,263
228,323,240,296
299,351,211,257
236,345,215,315
316,277,281,270
275,294,213,255
267,339,284,258
262,391,210,336
232,293,279,286
297,291,260,262
239,345,271,286
341,305,210,333
331,565,268,311
235,300,211,369
275,318,284,322
275,292,221,303
260,349,286,258
316,317,211,267
381,290,260,288
239,294,214,316
289,320,262,301
290,288,291,320
339,283,242,306
296,330,220,260
226,331,210,255
234,293,254,310
272,311,210,251
308,1288,272,294
342,287,233,268
436,336,210,259
376,329,242,307
327,294,210,281
257,283,253,270
250,346,254,333
284,353,210,260
347,294,270,308
268,314,207,329
272,289,240,330
438,283,214,289
236,352,258,289
404,291,213,296
348,335,278,259
232,348,214,320
297,280,262,306
272,319,212,252
262,294,242,315
303,339,209,285
239,292,248,331
229,328,272,293
233,287,223,306
295,320,276,267
235,290,211,321
260,364,256,261
316,296,220,324
298,282,249,310
256,382,213,298
235,342,272,250
327,290,219,308
276,363,208,261
231,286,272,326
285,375,211,272
221,360,265,261
305,294,253,257
500,354,237,300
305,289,246,306
289,361,248,330
248,342,209,291
294,293,272,262
320,331,266,324
293,366,210,316
274,338,239,254
313,290,209,318
287,350,237,289
259,288,253,250
229,345,239,317
329,285,267,313
228,325,318,264
333,283,315,256
298,359,221,328
263,309,297,303
322,371,275,258
254,287,282,316
304,361,213,251
277,285,208,366
